temperature,protocol,seed,eer_pct,rank1_pct,val_eer_pct,val_rank1_pct
0.12,e80v20,42,1.0019,79.8206,0.121,96.5517
0.12,e80v20,88,0.8464,82.0628,0.1059,98.2759
0.12,e80v20,99,0.9585,82.9596,0.2571,98.2759
0.12,e80v20,123,0.8969,78.4753,0.1966,98.2759
0.12,e80v20,256,0.9413,80.7175,0.1815,96.5517
0.12,e80v20,2024,0.8989,82.9596,0.1361,100.0
0.15,e80v20,5,0.8837,81.6143,0.121,100.0
0.15,e80v20,7,0.908,81.1659,0.1361,100.0
0.15,e80v20,17,0.8969,84.7534,0.121,100.0
0.15,e80v20,31,0.9231,81.6143,0.1361,98.2759
0.15,e80v20,42,0.9867,74.4395,0.1361,96.5517
0.15,e80v20,88,0.8969,79.3722,0.1361,98.2759
0.15,e80v20,99,0.9413,79.8206,0.1512,96.5517
0.15,e80v20,123,0.9474,78.0269,0.1512,96.5517
0.15,e80v20,256,1.2514,69.9552,0.2117,96.5517
0.15,e80v20,2024,0.8969,79.8206,0.1361,98.2759
0.03,v20e80,5,2.2422,53.8117,1.7241,96.5517
0.03,v20e80,7,1.7927,67.713,1.7241,96.5517
0.03,v20e80,17,1.8281,56.5022,1.7241,96.5517
0.03,v20e80,31,2.1927,58.296,1.7241,96.5517
0.03,v20e80,42,1.7947,65.4709,1.7241,96.5517
0.03,v20e80,88,1.7614,62.7803,1.7241,96.5517
0.03,v20e80,99,1.8856,64.1256,1.7241,96.5517
0.03,v20e80,123,2.1624,53.8117,1.7241,96.5517
0.03,v20e80,256,2.7229,56.0538,1.7241,96.5517
0.03,v20e80,2024,1.7937,63.2287,1.7241,96.5517
0.05,v20e80,5,1.8139,58.7444,1.7241,96.5517
0.05,v20e80,7,1.8281,61.8834,1.7241,96.5517
0.05,v20e80,17,2.2199,63.6771,1.7241,98.2759
0.05,v20e80,31,1.7937,69.9552,1.7241,96.5517
0.05,v20e80,42,1.8432,55.6054,1.7241,96.5517
0.05,v20e80,88,2.1614,49.7758,1.7241,96.5517
0.05,v20e80,99,1.4554,64.574,1.7241,96.5517
0.05,v20e80,123,2.222,60.5381,1.7241,96.5517
0.05,v20e80,256,2.2189,60.5381,1.7241,96.5517
0.05,v20e80,2024,2.1311,52.9148,1.7241,96.5517
0.07,v20e80,5,1.8149,59.1928,1.7241,96.5517
0.07,v20e80,7,1.4342,66.3677,1.7241,96.5517
0.07,v20e80,17,2.1957,54.2601,1.7241,96.5517
0.07,v20e80,31,2.1634,55.157,1.7241,98.2759
0.07,v20e80,42,1.7776,67.2646,1.7241,96.5517
0.07,v20e80,88,1.7523,62.7803,1.7241,96.5517
0.07,v20e80,99,2.2987,54.2601,1.7241,96.5517
0.07,v20e80,123,1.3857,64.1256,1.7241,96.5517
0.07,v20e80,256,2.6714,60.5381,1.7241,96.5517
0.07,v20e80,2024,2.2422,53.8117,1.7241,96.5517
0.09,v20e80,5,1.7937,59.1928,1.7241,96.5517
0.09,v20e80,7,1.7937,63.6771,1.7241,96.5517
0.09,v20e80,17,1.9058,57.8475,1.7241,96.5517
0.09,v20e80,31,1.6917,64.1256,1.7241,96.5517
0.09,v20e80,42,1.8897,55.157,1.7241,96.5517
0.09,v20e80,88,1.8149,61.8834,1.7241,96.5517
0.09,v20e80,99,2.2422,49.7758,1.7241,96.5517
0.09,v20e80,123,1.8473,61.435,1.7241,94.8276
0.09,v20e80,256,1.8159,59.6413,1.7241,98.2759
0.09,v20e80,2024,1.8149,64.574,1.7241,96.5517
0.1,v20e80,5,1.822,56.5022,1.7241,96.5517
0.1,v20e80,7,2.1876,50.6726,1.7241,96.5517
0.1,v20e80,17,1.8907,61.435,1.7241,96.5517
0.1,v20e80,31,2.2422,54.7085,1.7241,96.5517
0.1,v20e80,42,1.3918,66.8161,1.7241,96.5517
0.1,v20e80,88,1.7149,65.0224,1.7241,96.5517
0.1,v20e80,99,1.4554,64.574,1.7241,96.5517
0.1,v20e80,123,2.2088,57.3991,1.7241,96.5517
0.1,v20e80,256,2.2048,60.5381,1.7241,96.5517
0.1,v20e80,2024,1.8664,57.8475,1.7241,96.5517
0.12,v20e80,5,1.7937,60.5381,1.7241,96.5517
0.12,v20e80,7,2.1805,48.4305,1.7241,96.5517
0.12,v20e80,17,2.2937,56.0538,1.7241,96.5517
0.12,v20e80,31,1.8846,57.3991,1.7241,96.5517
0.12,v20e80,42,1.8614,65.4709,1.7241,96.5517
0.12,v20e80,88,1.7776,56.5022,1.7241,96.5517
0.12,v20e80,99,2.1401,54.2601,1.7241,96.5517
0.12,v20e80,123,1.9018,59.1928,1.7241,98.2759
0.12,v20e80,256,1.8089,60.9865,1.7241,96.5517
0.12,v20e80,2024,1.7594,55.6054,1.7241,96.5517
0.15,v20e80,5,1.8826,56.5022,1.7241,96.5517
0.15,v20e80,7,2.2018,52.4664,1.7241,96.5517
0.15,v20e80,17,1.8745,52.9148,1.7241,96.5517
0.15,v20e80,31,1.3938,63.6771,1.7241,96.5517
0.15,v20e80,42,1.8523,53.8117,1.7241,96.5517
0.15,v20e80,88,2.1886,51.5695,1.7241,94.8276
0.15,v20e80,99,1.7937,50.2242,1.7241,96.5517
0.15,v20e80,123,1.8584,56.5022,1.7241,96.5517
0.15,v20e80,256,2.1917,45.7399,1.7241,98.2759
0.15,v20e80,2024,1.7715,60.0897,1.7241,94.8276
0.03,v30e70,5,1.7271,60.0897,1.7241,96.5517
0.03,v30e70,7,1.719,65.9193,1.7241,98.2759
0.03,v30e70,17,1.8402,52.4664,1.7241,96.5517
0.03,v30e70,31,2.1795,56.5022,1.7241,100.0
0.03,v30e70,42,1.7937,52.4664,1.7241,96.5517
0.03,v30e70,88,1.8028,52.9148,1.7241,96.5517
0.03,v30e70,99,1.7937,62.3318,1.7241,96.5517
0.03,v30e70,123,2.1412,53.3632,1.7241,96.5517
0.03,v30e70,256,2.3028,58.7444,1.7241,96.5517
0.03,v30e70,2024,2.1725,54.2601,1.7241,96.5517
0.05,v30e70,5,2.3169,48.4305,1.7241,96.5517
0.05,v30e70,7,1.7735,57.8475,1.7241,98.2759
0.05,v30e70,17,1.7937,65.9193,1.7241,100.0
0.05,v30e70,31,1.8483,59.6413,1.7241,100.0
0.05,v30e70,42,2.1664,54.2601,1.7241,96.5517
0.05,v30e70,88,0.808,88.3408,1.6183,96.5517
0.05,v30e70,99,1.7836,58.296,1.7241,96.5517
0.05,v30e70,123,2.1977,58.7444,1.7241,96.5517
0.05,v30e70,256,2.2391,59.1928,1.7241,100.0
0.05,v30e70,2024,1.3483,72.1973,1.7241,100.0
0.07,v30e70,5,1.8452,59.1928,1.7241,98.2759
0.07,v30e70,7,1.9028,51.1211,1.7241,96.5517
0.07,v30e70,17,2.2573,49.7758,1.7241,98.2759
0.07,v30e70,31,2.1674,51.5695,1.7241,98.2759
0.07,v30e70,42,2.3098,53.8117,1.7241,96.5517
0.07,v30e70,88,1.8876,55.6054,1.7241,98.2759
0.07,v30e70,99,1.7806,52.0179,1.7241,98.2759
0.07,v30e70,123,0.7848,89.2377,1.6636,98.2759
0.07,v30e70,256,2.1826,54.2601,1.7241,98.2759
0.07,v30e70,2024,0.8969,84.7534,1.6788,96.5517
0.09,v30e70,5,1.4251,54.2601,1.7241,98.2759
0.09,v30e70,7,1.7513,61.8834,1.7241,98.2759
0.09,v30e70,17,1.7978,61.435,1.7241,98.2759
0.09,v30e70,31,1.3837,60.9865,1.7241,98.2759
0.09,v30e70,42,2.1603,56.9507,1.7241,96.5517
0.09,v30e70,88,0.8282,89.2377,1.5275,98.2759
0.09,v30e70,99,0.8716,84.7534,1.6636,96.5517
0.09,v30e70,123,0.809,90.583,1.588,96.5517
0.09,v30e70,256,1.9028,56.0538,1.7241,98.2759
0.09,v30e70,2024,1.7937,64.1256,1.7241,98.2759
0.1,v30e70,5,1.824,49.7758,1.7241,96.5517
0.1,v30e70,7,0.8009,89.6861,1.6939,96.5517
0.1,v30e70,17,0.814,86.9955,1.6485,96.5517
0.1,v30e70,31,2.2856,55.6054,1.7241,98.2759
0.1,v30e70,42,0.8009,90.1345,1.6788,96.5517
0.1,v30e70,88,0.8019,88.7892,1.5426,94.8276
0.1,v30e70,99,0.7878,89.2377,1.709,96.5517
0.1,v30e70,123,0.7928,87.4439,1.6788,98.2759
0.1,v30e70,256,0.8645,86.9955,1.709,98.2759
0.1,v30e70,2024,0.8191,88.3408,1.5124,98.2759
0.12,v30e70,5,0.8181,88.7892,1.5426,98.2759
0.12,v30e70,7,0.8969,82.5112,1.5578,98.2759
0.12,v30e70,17,0.5575,86.5471,1.6031,96.5517
0.12,v30e70,31,0.8615,78.9238,1.6334,94.8276
0.12,v30e70,42,0.7989,86.0987,1.5578,96.5517
0.12,v30e70,88,0.8292,83.4081,1.5426,94.8276
0.12,v30e70,99,0.7959,87.4439,1.5275,98.2759
0.12,v30e70,123,0.5454,85.6502,1.588,98.2759
0.12,v30e70,256,0.8211,86.9955,1.6031,98.2759
0.12,v30e70,2024,0.8726,80.2691,1.6636,98.2759
0.15,v30e70,5,0.5333,88.3408,1.5578,96.5517
0.15,v30e70,7,0.8625,86.0987,1.5426,94.8276
0.15,v30e70,17,0.5525,85.6502,1.6031,94.8276
0.15,v30e70,31,0.7949,82.0628,1.4973,96.5517
0.15,v30e70,42,0.7928,83.4081,1.5275,93.1034
0.15,v30e70,88,0.812,81.6143,1.5124,93.1034
0.15,v30e70,99,0.8211,85.6502,1.5729,94.8276
0.15,v30e70,123,0.5585,84.7534,1.5275,96.5517
0.15,v30e70,256,0.8827,78.0269,1.5426,98.2759
0.15,v30e70,2024,0.8332,83.8565,1.5124,94.8276
0.03,v50e50,5,0.906,79.3722,1.4519,100.0
0.03,v50e50,7,0.913,74.8879,1.5275,94.8276
0.03,v50e50,17,1.3716,64.574,1.4368,93.1034
0.03,v50e50,31,1.2544,68.6099,1.467,96.5517
0.03,v50e50,42,0.8746,82.5112,1.4519,98.2759
0.03,v50e50,88,0.8383,86.9955,1.4519,98.2759
0.03,v50e50,99,0.8969,82.5112,1.5729,100.0
0.03,v50e50,123,0.9595,74.4395,1.588,98.2759
0.03,v50e50,256,0.808,86.0987,1.588,100.0
0.03,v50e50,2024,0.9837,77.5785,1.4822,98.2759
0.05,v50e50,5,0.8837,82.5112,1.4973,100.0
0.05,v50e50,7,0.81,84.3049,1.4822,100.0
0.05,v50e50,17,0.9979,71.3004,1.4822,100.0
0.05,v50e50,31,0.7868,87.8924,1.4217,100.0
0.05,v50e50,42,1.418,69.0583,1.3309,91.3793
0.05,v50e50,88,0.8575,83.4081,0.2874,100.0
0.05,v50e50,99,0.7868,83.8565,1.4822,98.2759
0.05,v50e50,123,0.8181,86.9955,1.4519,100.0
0.05,v50e50,256,0.813,75.7848,1.467,100.0
0.05,v50e50,2024,0.7969,87.4439,0.4083,100.0
0.07,v50e50,5,0.812,83.8565,1.3007,100.0
0.07,v50e50,7,0.8009,86.0987,0.3025,98.2759
0.07,v50e50,17,0.8555,83.4081,1.3309,98.2759
0.07,v50e50,31,1.2352,65.4709,1.346,98.2759
0.07,v50e50,42,0.8585,83.8565,1.3612,100.0
0.07,v50e50,88,0.8282,84.3049,0.3479,96.5517
0.07,v50e50,99,0.7989,85.2018,1.3612,98.2759
0.07,v50e50,123,0.808,84.3049,0.3327,98.2759
0.07,v50e50,256,0.8969,75.3363,1.3158,100.0
0.07,v50e50,2024,0.8312,79.8206,0.363,98.2759
0.09,v50e50,5,0.7989,83.8565,0.3479,100.0
0.09,v50e50,7,0.8696,87.4439,0.3781,100.0
0.09,v50e50,17,0.5323,84.7534,0.3176,100.0
0.09,v50e50,31,0.8777,85.2018,0.3479,100.0
0.09,v50e50,42,0.7898,85.2018,0.3781,100.0
0.09,v50e50,88,0.8969,76.6816,0.2722,98.2759
0.09,v50e50,99,0.7979,85.6502,0.3176,98.2759
0.09,v50e50,123,0.809,88.3408,0.3025,96.5517
0.09,v50e50,256,0.8999,85.6502,0.4083,100.0
0.09,v50e50,2024,0.8605,82.9596,0.4235,100.0
0.1,v50e50,5,0.8029,85.6502,0.3025,100.0
0.1,v50e50,7,0.5555,84.7534,0.3327,100.0
0.1,v50e50,17,0.8494,82.0628,0.3327,100.0
0.1,v50e50,31,0.8666,82.9596,0.3025,100.0
0.1,v50e50,42,0.81,82.9596,0.3176,98.2759
0.1,v50e50,88,0.8322,84.3049,0.2269,93.1034
0.1,v50e50,99,0.7898,86.5471,0.242,100.0
0.1,v50e50,123,0.7959,82.5112,0.2874,100.0
0.1,v50e50,256,0.8969,83.8565,0.3479,100.0
0.1,v50e50,2024,0.8171,82.0628,0.242,98.2759
0.12,v50e50,5,0.806,86.0987,0.2571,98.2759
0.12,v50e50,7,0.813,83.8565,0.3025,100.0
0.12,v50e50,17,0.811,79.3722,0.2722,100.0
0.12,v50e50,31,0.8928,82.5112,0.2722,100.0
0.12,v50e50,42,0.8221,79.3722,0.242,100.0
0.12,v50e50,88,0.8938,81.1659,0.242,98.2759
0.12,v50e50,99,0.8969,82.9596,0.2722,100.0
0.12,v50e50,123,0.8009,84.3049,0.2571,98.2759
0.12,v50e50,256,0.8767,85.6502,0.242,98.2759
0.12,v50e50,2024,0.5121,83.8565,0.2874,100.0
0.15,v50e50,5,0.5434,83.8565,0.2571,96.5517
0.15,v50e50,7,0.8656,84.7534,0.2874,98.2759
0.15,v50e50,17,0.812,82.9596,0.242,96.5517
0.15,v50e50,31,0.8868,82.0628,0.2571,96.5517
0.15,v50e50,42,0.807,84.7534,0.3025,98.2759
0.15,v50e50,88,0.5373,83.8565,0.242,96.5517
0.15,v50e50,99,0.8615,81.1659,0.2874,98.2759
0.15,v50e50,123,0.8443,80.2691,0.242,96.5517
0.15,v50e50,256,0.8928,74.8879,0.3025,98.2759
0.15,v50e50,2024,0.9191,69.9552,0.242,98.2759
